sample_id,class_name,severity,trial,method,iou,dice,device
sample_007,person,moderate,1,sam_noisy_prompt,0.322257,0.487435,cuda
sample_007,person,moderate,1,sam_repaired_prompt,0.160845,0.277118,cuda
sample_007,person,moderate,1,sam_score_selected_prompt,0.322257,0.487435,cuda
sample_007,person,moderate,1,sam_oracle_best_prompt,0.322257,0.487435,cuda
sample_008,horse,clean,0,center_color,0.343483,0.511332,cpu
sample_008,horse,clean,0,robust_superpixel,0.444881,0.615803,cpu
sample_008,horse,clean,0,repaired_superpixel,0.393680,0.564950,cpu
sample_008,horse,clean,0,sam_noisy_prompt,0.725849,0.841150,cuda
sample_008,horse,clean,0,sam_repaired_prompt,0.753433,0.859381,cuda
sample_008,horse,clean,0,sam_score_selected_prompt,0.753433,0.859381,cuda
sample_008,horse,clean,0,sam_oracle_best_prompt,0.753433,0.859381,cuda
sample_008,horse,mild,0,center_color,0.278395,0.435539,cpu
sample_008,horse,mild,0,robust_superpixel,0.377817,0.548428,cpu
sample_008,horse,mild,0,repaired_superpixel,0.224482,0.366656,cpu
sample_008,horse,mild,0,sam_noisy_prompt,0.610715,0.758315,cuda
sample_008,horse,mild,0,sam_repaired_prompt,0.606336,0.754931,cuda
sample_008,horse,mild,0,sam_score_selected_prompt,0.610715,0.758315,cuda
sample_008,horse,mild,0,sam_oracle_best_prompt,0.610715,0.758315,cuda
sample_008,horse,mild,1,center_color,0.286073,0.444878,cpu
sample_008,horse,mild,1,robust_superpixel,0.363841,0.533553,cpu
sample_008,horse,mild,1,repaired_superpixel,0.383878,0.554786,cpu
sample_008,horse,mild,1,sam_noisy_prompt,0.682715,0.811444,cuda
sample_008,horse,mild,1,sam_repaired_prompt,0.679766,0.809358,cuda
sample_008,horse,mild,1,sam_score_selected_prompt,0.679766,0.809358,cuda
sample_008,horse,mild,1,sam_oracle_best_prompt,0.682715,0.811444,cuda
sample_008,horse,moderate,0,center_color,0.247676,0.397020,cpu
sample_008,horse,moderate,0,robust_superpixel,0.318421,0.483034,cpu
sample_008,horse,moderate,0,repaired_superpixel,0.348927,0.517341,cpu
sample_008,horse,moderate,0,sam_noisy_prompt,0.584159,0.737501,cuda
sample_008,horse,moderate,0,sam_repaired_prompt,0.722542,0.838925,cuda
sample_008,horse,moderate,0,sam_score_selected_prompt,0.584159,0.737501,cuda
sample_008,horse,moderate,0,sam_oracle_best_prompt,0.722542,0.838925,cuda
sample_008,horse,moderate,1,center_color,0.135464,0.238605,cpu
sample_008,horse,moderate,1,robust_superpixel,0.320045,0.484901,cpu
sample_008,horse,moderate,1,repaired_superpixel,0.385022,0.555980,cpu
sample_008,horse,moderate,1,sam_noisy_prompt,0.727494,0.842254,cuda
sample_008,horse,moderate,1,sam_repaired_prompt,0.763846,0.866114,cuda
sample_008,horse,moderate,1,sam_score_selected_prompt,0.763846,0.866114,cuda
sample_008,horse,moderate,1,sam_oracle_best_prompt,0.763846,0.866114,cuda
sample_009,person,clean,0,center_color,0.825239,0.904253,cpu
sample_009,person,clean,0,robust_superpixel,0.825239,0.904253,cpu
sample_009,person,clean,0,repaired_superpixel,0.821845,0.902212,cpu
sample_009,person,clean,0,sam_noisy_prompt,0.965467,0.982430,cuda
sample_009,person,clean,0,sam_repaired_prompt,0.968186,0.983836,cuda
sample_009,person,clean,0,sam_score_selected_prompt,0.965467,0.982430,cuda
sample_009,person,clean,0,sam_oracle_best_prompt,0.968186,0.983836,cuda
sample_009,person,mild,0,center_color,0.817144,0.899372,cpu
sample_009,person,mild,0,robust_superpixel,0.817144,0.899372,cpu
sample_009,person,mild,0,repaired_superpixel,0.811498,0.895941,cpu
sample_009,person,mild,0,sam_noisy_prompt,0.967913,0.983695,cuda
sample_009,person,mild,0,sam_repaired_prompt,0.969084,0.984299,cuda
sample_009,person,mild,0,sam_score_selected_prompt,0.967913,0.983695,cuda
sample_009,person,mild,0,sam_oracle_best_prompt,0.969084,0.984299,cuda
sample_009,person,mild,1,center_color,0.823737,0.903351,cpu
sample_009,person,mild,1,robust_superpixel,0.823737,0.903351,cpu
sample_009,person,mild,1,repaired_superpixel,0.829151,0.906596,cpu
sample_009,person,mild,1,sam_noisy_prompt,0.954609,0.976778,cuda
sample_009,person,mild,1,sam_repaired_prompt,0.954739,0.976846,cuda
sample_009,person,mild,1,sam_score_selected_prompt,0.954739,0.976846,cuda
sample_009,person,mild,1,sam_oracle_best_prompt,0.954739,0.976846,cuda
sample_009,person,moderate,0,center_color,0.701934,0.824866,cpu
sample_009,person,moderate,0,robust_superpixel,0.688558,0.815557,cpu
sample_009,person,moderate,0,repaired_superpixel,0.768546,0.869128,cpu
sample_009,person,moderate,0,sam_noisy_prompt,0.950791,0.974775,cuda
sample_009,person,moderate,0,sam_repaired_prompt,0.950676,0.974714,cuda
sample_009,person,moderate,0,sam_score_selected_prompt,0.950791,0.974775,cuda
sample_009,person,moderate,0,sam_oracle_best_prompt,0.950791,0.974775,cuda
sample_009,person,moderate,1,center_color,0.676752,0.807218,cpu
sample_009,person,moderate,1,robust_superpixel,0.676752,0.807218,cpu
sample_009,person,moderate,1,repaired_superpixel,0.682822,0.811520,cpu
sample_009,person,moderate,1,sam_noisy_prompt,0.841553,0.913960,cuda
sample_009,person,moderate,1,sam_repaired_prompt,0.694408,0.819647,cuda
sample_009,person,moderate,1,sam_score_selected_prompt,0.694408,0.819647,cuda
sample_009,person,moderate,1,sam_oracle_best_prompt,0.841553,0.913960,cuda
sample_010,sofa,clean,0,center_color,0.562012,0.719600,cpu
sample_010,sofa,clean,0,robust_superpixel,0.633092,0.775329,cpu
sample_010,sofa,clean,0,repaired_superpixel,0.659843,0.795067,cpu
sample_010,sofa,clean,0,sam_noisy_prompt,0.835908,0.910621,cuda
sample_010,sofa,clean,0,sam_repaired_prompt,0.967241,0.983347,cuda
sample_010,sofa,clean,0,sam_score_selected_prompt,0.835908,0.910621,cuda
sample_010,sofa,clean,0,sam_oracle_best_prompt,0.967241,0.983347,cuda
sample_010,sofa,mild,0,center_color,0.518939,0.683292,cpu
sample_010,sofa,mild,0,robust_superpixel,0.591573,0.743382,cpu
sample_010,sofa,mild,0,repaired_superpixel,0.600654,0.750511,cpu
sample_010,sofa,mild,0,sam_noisy_prompt,0.924429,0.960731,cuda
sample_010,sofa,mild,0,sam_repaired_prompt,0.974454,0.987062,cuda
sample_010,sofa,mild,0,sam_score_selected_prompt,0.924429,0.960731,cuda
sample_010,sofa,mild,0,sam_oracle_best_prompt,0.974454,0.987062,cuda
sample_010,sofa,mild,1,center_color,0.547236,0.707372,cpu
sample_010,sofa,mild,1,robust_superpixel,0.605029,0.753917,cpu
sample_010,sofa,mild,1,repaired_superpixel,0.660108,0.795259,cpu
sample_010,sofa,mild,1,sam_noisy_prompt,0.972652,0.986137,cuda
sample_010,sofa,mild,1,sam_repaired_prompt,0.972953,0.986291,cuda
sample_010,sofa,mild,1,sam_score_selected_prompt,0.972953,0.986291,cuda
sample_010,sofa,mild,1,sam_oracle_best_prompt,0.972953,0.986291,cuda
sample_010,sofa,moderate,0,center_color,0.352124,0.520846,cpu
