sample_id,class_name,experiment,severity,condition,method,trial,iou,dice,sam_score,pred_pixels,target_pixels,device
sample_004,person,uncertainty_ensemble,mild,point_box_noise,sam_oracle_best,1,0.659010,0.794461,0.915516,56867,42725,cuda
sample_004,person,noise_decomposition,moderate,point_noise,sam_single_prompt,0,0.743429,0.852836,0.918167,55050,42725,cuda
sample_004,person,noise_decomposition,moderate,point_noise,sam_single_prompt,1,0.749121,0.856568,0.918439,51292,42725,cuda
sample_004,person,noise_decomposition,moderate,box_noise,sam_single_prompt,0,0.446928,0.617762,0.683121,21931,42725,cuda
sample_004,person,noise_decomposition,moderate,box_noise,sam_single_prompt,1,0.431258,0.602628,0.756485,57111,42725,cuda
sample_004,person,noise_decomposition,moderate,point_box_noise,sam_single_prompt,0,0.218166,0.358187,0.693733,11995,42725,cuda
sample_004,person,noise_decomposition,moderate,point_box_noise,sam_single_prompt,1,0.192999,0.323553,0.881227,37676,42725,cuda
sample_004,person,uncertainty_ensemble,moderate,point_box_noise,sam_single_noisy,0,0.218166,0.358187,0.693733,11995,42725,cuda
sample_004,person,uncertainty_ensemble,moderate,point_box_noise,sam_score_select,0,0.186913,0.314956,0.840973,35108,42725,cuda
sample_004,person,uncertainty_ensemble,moderate,point_box_noise,sam_consistency_medoid,0,0.186913,0.314956,0.758733,35108,42725,cuda
sample_004,person,uncertainty_ensemble,moderate,point_box_noise,sam_vote_consensus,0,0.140970,0.247105,0.758733,30256,42725,cuda
sample_004,person,uncertainty_ensemble,moderate,point_box_noise,sam_oracle_best,0,0.374284,0.544697,0.716693,17995,42725,cuda
sample_004,person,uncertainty_ensemble,moderate,point_box_noise,sam_single_noisy,1,0.192999,0.323553,0.881227,37676,42725,cuda
sample_004,person,uncertainty_ensemble,moderate,point_box_noise,sam_score_select,1,0.211422,0.349048,0.919852,11302,42725,cuda
sample_004,person,uncertainty_ensemble,moderate,point_box_noise,sam_consistency_medoid,1,0.192999,0.323553,0.877424,37676,42725,cuda
sample_004,person,uncertainty_ensemble,moderate,point_box_noise,sam_vote_consensus,1,0.187987,0.316480,0.877424,37495,42725,cuda
sample_004,person,uncertainty_ensemble,moderate,point_box_noise,sam_oracle_best,1,0.211422,0.349048,0.919852,11302,42725,cuda
