method,class_name,target_area_quartile,iou,dice
robust_no_spatial_prior,aeroplane,Q4,0.5089658571428571,0.6541480000000001
robust_no_spatial_prior,bicycle,Q1,0.1944827,0.31407229999999997
robust_no_spatial_prior,bicycle,Q2,0.20917525,0.341667875
robust_no_spatial_prior,bicycle,Q3,0.212962,0.351144
robust_no_spatial_prior,bicycle,Q4,0.342475,0.510215
robust_no_spatial_prior,bird,Q1,0.5698905531914894,0.7061010638297872
robust_no_spatial_prior,bird,Q2,0.5793255384615384,0.7234133076923077
robust_no_spatial_prior,bird,Q3,0.5943849333333333,0.7292369333333333
robust_no_spatial_prior,bird,Q4,0.5292455714285714,0.6656651428571428
robust_no_spatial_prior,boat,Q1,0.5702934210526316,0.7003312894736842
robust_no_spatial_prior,boat,Q2,0.6217771538461538,0.746575076923077
robust_no_spatial_prior,boat,Q3,0.5357869166666667,0.6529533333333334
robust_no_spatial_prior,boat,Q4,0.593307,0.73475875
robust_no_spatial_prior,bottle,Q1,0.5495539090909092,0.6827778181818182
robust_no_spatial_prior,bottle,Q2,0.5452768571428571,0.6820358571428571
robust_no_spatial_prior,bottle,Q3,0.558269875,0.700624625
robust_no_spatial_prior,bottle,Q4,0.6555101818181819,0.7787933636363636
robust_no_spatial_prior,bus,Q1,0.6116097142857143,0.6969071428571428
robust_no_spatial_prior,bus,Q2,0.6230845,0.752668125
robust_no_spatial_prior,bus,Q3,0.6942074666666667,0.8110919333333333
robust_no_spatial_prior,bus,Q4,0.6563197837837838,0.7815296756756757
robust_no_spatial_prior,car,Q1,0.5657390555555556,0.6968197777777778
robust_no_spatial_prior,car,Q2,0.6033838461538461,0.7450433846153846
robust_no_spatial_prior,car,Q3,0.6429141538461539,0.7645200769230769
robust_no_spatial_prior,car,Q4,0.6663719677419354,0.7880375806451613
robust_no_spatial_prior,cat,Q1,0.604829,0.7318927142857142
robust_no_spatial_prior,cat,Q2,0.5701392727272727,0.7148984545454545
robust_no_spatial_prior,cat,Q3,0.6227516750000001,0.751400575
robust_no_spatial_prior,cat,Q4,0.687478,0.801784125
robust_no_spatial_prior,chair,Q1,0.47687888888888885,0.6160456666666667
robust_no_spatial_prior,chair,Q2,0.5708275454545455,0.6943622727272728
robust_no_spatial_prior,chair,Q3,0.5273543333333334,0.6665931111111111
robust_no_spatial_prior,chair,Q4,0.49132166666666666,0.565947
robust_no_spatial_prior,cow,Q1,0.633085,0.764457
robust_no_spatial_prior,cow,Q2,0.6010973125,0.7414133125
robust_no_spatial_prior,cow,Q3,0.6215177894736842,0.7509820526315789
robust_no_spatial_prior,cow,Q4,0.6094807058823529,0.7399105294117647
robust_no_spatial_prior,diningtable,Q1,0.38046825,0.507675125
robust_no_spatial_prior,diningtable,Q2,0.5688835,0.668405625
robust_no_spatial_prior,diningtable,Q3,0.671084,0.7924018
robust_no_spatial_prior,diningtable,Q4,0.6373991176470588,0.7538265294117648
robust_no_spatial_prior,dog,Q1,0.532121,0.6770344166666667
robust_no_spatial_prior,dog,Q2,0.562757,0.7029257692307692
robust_no_spatial_prior,dog,Q3,0.5737028928571428,0.7088255357142856
robust_no_spatial_prior,dog,Q4,0.6251425142857143,0.758626
robust_no_spatial_prior,horse,Q1,0.5772192916666666,0.7181592499999999
robust_no_spatial_prior,horse,Q2,0.535347,0.687092
robust_no_spatial_prior,horse,Q3,0.5647066923076923,0.7130083846153846
robust_no_spatial_prior,horse,Q4,0.670304,0.796161
robust_no_spatial_prior,motorbike,Q1,0.5034213333333333,0.6576103333333333
robust_no_spatial_prior,motorbike,Q2,0.5158711304347826,0.6718280434782609
robust_no_spatial_prior,motorbike,Q3,0.4903943125,0.6458374375
robust_no_spatial_prior,motorbike,Q4,0.5283109230769231,0.6789613846153847
robust_no_spatial_prior,person,Q1,0.5008154,0.6496803999999999
robust_no_spatial_prior,person,Q2,0.5531823166666666,0.7019524500000001
robust_no_spatial_prior,person,Q3,0.5727499523809524,0.7161089841269841
robust_no_spatial_prior,person,Q4,0.5719147377049181,0.7071693606557378
robust_no_spatial_prior,pottedplant,Q1,0.5929001538461538,0.7213287692307693
robust_no_spatial_prior,pottedplant,Q2,0.5003434285714286,0.6572841428571429
robust_no_spatial_prior,pottedplant,Q3,0.63875875,0.765400375
robust_no_spatial_prior,pottedplant,Q4,0.6342623333333334,0.774884
robust_no_spatial_prior,sheep,Q1,0.6014345999999999,0.7373206999999999
robust_no_spatial_prior,sheep,Q2,0.6154949333333334,0.7498897333333333
robust_no_spatial_prior,sheep,Q3,0.6309819166666667,0.7638425833333332
robust_no_spatial_prior,sheep,Q4,0.5953164285714285,0.7236481428571429
robust_no_spatial_prior,sofa,Q1,0.6438412857142858,0.7728517142857143
robust_no_spatial_prior,sofa,Q2,0.7025635238095238,0.8145584761904762
robust_no_spatial_prior,sofa,Q3,0.7576751428571429,0.8517356666666667
robust_no_spatial_prior,sofa,Q4,0.694022875,0.8032784375
robust_no_spatial_prior,train,Q1,0.5720149999999999,0.7121854545454546
robust_no_spatial_prior,train,Q2,0.5206739166666666,0.6561638333333334
robust_no_spatial_prior,train,Q3,0.6254845625,0.7538651875
robust_no_spatial_prior,train,Q4,0.6578188148148149,0.7770566296296296
robust_no_spatial_prior,tvmonitor,Q1,0.7313063076923078,0.8384198461538461
robust_no_spatial_prior,tvmonitor,Q2,0.61134425,0.7443114999999999
robust_no_spatial_prior,tvmonitor,Q3,0.8133041999999999,0.8898972
robust_no_spatial_prior,tvmonitor,Q4,0.6796688888888889,0.8023402222222222
robust_single_box,aeroplane,Q1,0.4830784482758621,0.6242339310344828
robust_single_box,aeroplane,Q2,0.5539074722222223,0.6923837777777778
robust_single_box,aeroplane,Q3,0.5606109411764706,0.7001662941176471
robust_single_box,aeroplane,Q4,0.5575691428571429,0.7033925714285714
robust_single_box,bicycle,Q1,0.19294825,0.31162645
robust_single_box,bicycle,Q2,0.2059338125,0.3371225
robust_single_box,bicycle,Q3,0.212962,0.351144
robust_single_box,bicycle,Q4,0.346382,0.514538
robust_single_box,bird,Q1,0.5775453617021277,0.7128552127659575
robust_single_box,bird,Q2,0.5861058846153846,0.7285451538461539
robust_single_box,bird,Q3,0.6264251333333333,0.7556360666666666
robust_single_box,bird,Q4,0.6340307142857142,0.7586104285714287
robust_single_box,boat,Q1,0.5773987631578947,0.7072837105263158
robust_single_box,boat,Q2,0.6122075384615384,0.7392743846153846
robust_single_box,boat,Q3,0.5667881666666666,0.6804816666666667
robust_single_box,boat,Q4,0.59592275,0.7369330000000001
robust_single_box,bottle,Q1,0.5780517272727272,0.7105759090909091
robust_single_box,bottle,Q2,0.5716634285714285,0.7081801428571428
robust_single_box,bottle,Q3,0.620882375,0.752969875
robust_single_box,bottle,Q4,0.702428,0.8149879999999999
robust_single_box,bus,Q1,0.6247971428571429,0.7117444285714286
robust_single_box,bus,Q2,0.6896215,0.809313875
robust_single_box,bus,Q3,0.7490992666666667,0.8533672
robust_single_box,bus,Q4,0.6998158648648649,0.8148518648648649
robust_single_box,car,Q1,0.5680135555555555,0.6983826666666667
robust_single_box,car,Q2,0.6217693076923076,0.7587461538461538
robust_single_box,car,Q3,0.680935076923077,0.7950174615384615
robust_single_box,car,Q4,0.6868184193548388,0.8049933225806452
robust_single_box,cat,Q1,0.6932594285714285,0.815923
robust_single_box,cat,Q2,0.5755108181818183,0.7198097272727272
robust_single_box,cat,Q3,0.6475508249999999,0.777526825
robust_single_box,cat,Q4,0.7151723249999999,0.823981675
robust_single_box,chair,Q1,0.477065,0.6162227777777778
robust_single_box,chair,Q2,0.5836674545454545,0.7057515454545454
robust_single_box,chair,Q3,0.5720573333333333,0.7076745555555556
robust_single_box,chair,Q4,0.5691823333333333,0.690347
robust_single_box,cow,Q1,0.6299635333333333,0.7634333333333333
robust_single_box,cow,Q2,0.61138025,0.7496028125
robust_single_box,cow,Q3,0.6400582105263158,0.7693443157894737
robust_single_box,cow,Q4,0.6256343529411764,0.756359294117647
robust_single_box,diningtable,Q1,0.395506,0.53961775
robust_single_box,diningtable,Q2,0.582919,0.67886625
robust_single_box,diningtable,Q3,0.6919677,0.8100643
robust_single_box,diningtable,Q4,0.6954008823529412,0.7954336470588236
robust_single_box,dog,Q1,0.5393553333333333,0.68385425
robust_single_box,dog,Q2,0.593364,0.7280074615384616
robust_single_box,dog,Q3,0.6188874642857144,0.7486556785714286
robust_single_box,dog,Q4,0.6598598857142857,0.7851689428571429
robust_single_box,horse,Q1,0.5769364583333333,0.7179180000000001
robust_single_box,horse,Q2,0.5486032380952381,0.6984609523809524
robust_single_box,horse,Q3,0.5572533076923076,0.7081046153846154
robust_single_box,horse,Q4,0.6763870625,0.80367875
robust_single_box,motorbike,Q1,0.5240635555555556,0.6795494444444444
robust_single_box,motorbike,Q2,0.5535128695652174,0.7044120434782609
robust_single_box,motorbike,Q3,0.530713875,0.6839556875
robust_single_box,motorbike,Q4,0.5755174615384615,0.719655076923077
robust_single_box,person,Q1,0.5093575111111112,0.6577143111111111
robust_single_box,person,Q2,0.5719199166666667,0.7192650833333333
robust_single_box,person,Q3,0.5867334285714285,0.7297862857142857
robust_single_box,person,Q4,0.6142118032786885,0.7479418032786884
robust_single_box,pottedplant,Q1,0.5929738461538462,0.721296153846154
robust_single_box,pottedplant,Q2,0.52736,0.6788717142857142
robust_single_box,pottedplant,Q3,0.6635721250000001,0.785375
robust_single_box,pottedplant,Q4,0.6632663333333334,0.795907
robust_single_box,sheep,Q1,0.6014345999999999,0.7373206999999999
robust_single_box,sheep,Q2,0.6515091333333333,0.7827147333333334
robust_single_box,sheep,Q3,0.64663525,0.7772575
robust_single_box,sheep,Q4,0.6093108571428572,0.7336445714285714
robust_single_box,sofa,Q1,0.6442042857142857,0.7730711428571428
robust_single_box,sofa,Q2,0.7184899523809524,0.8288468571428572
robust_single_box,sofa,Q3,0.7629061428571428,0.8561427142857143
robust_single_box,sofa,Q4,0.6952043125,0.8058574375
robust_single_box,train,Q1,0.5962432727272727,0.7360647272727273
robust_single_box,train,Q2,0.5452639166666666,0.6816523333333334
robust_single_box,train,Q3,0.65715440625,0.77914659375
robust_single_box,train,Q4,0.6961542222222222,0.8083946296296296
robust_single_box,tvmonitor,Q1,0.7358091538461539,0.8419745384615385
robust_single_box,tvmonitor,Q2,0.6351275833333333,0.7667272500000001
robust_single_box,tvmonitor,Q3,0.8142768,0.8904856999999999
robust_single_box,tvmonitor,Q4,0.7234632222222221,0.8349798888888889
robust_superpixel,aeroplane,Q1,0.4830784482758621,0.6242339310344828
robust_superpixel,aeroplane,Q2,0.5568316388888889,0.6952436111111111
robust_superpixel,aeroplane,Q3,0.5591746470588236,0.6987156470588235
robust_superpixel,aeroplane,Q4,0.5569981428571429,0.7028312857142858
robust_superpixel,bicycle,Q1,0.1929789,0.3116746
